episode_id,model,level,task_id,seed,init_state_index,status,success,evidence_complete,source_kind
candidate_amber-L1-T0-S107,candidate_amber,1,0,107,2,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T0-S109,candidate_amber,1,0,109,3,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T0-S113,candidate_amber,1,0,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T1-S101,candidate_amber,1,1,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T1-S103,candidate_amber,1,1,103,1,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T1-S107,candidate_amber,1,1,107,2,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T1-S109,candidate_amber,1,1,109,3,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T1-S113,candidate_amber,1,1,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T2-S101,candidate_amber,1,2,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T2-S103,candidate_amber,1,2,103,1,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T2-S107,candidate_amber,1,2,107,2,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T2-S109,candidate_amber,1,2,109,3,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T2-S113,candidate_amber,1,2,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T3-S101,candidate_amber,1,3,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T3-S103,candidate_amber,1,3,103,1,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T3-S107,candidate_amber,1,3,107,2,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T3-S109,candidate_amber,1,3,109,3,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T3-S113,candidate_amber,1,3,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T4-S101,candidate_amber,1,4,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T4-S103,candidate_amber,1,4,103,1,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T4-S107,candidate_amber,1,4,107,2,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T4-S109,candidate_amber,1,4,109,3,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T4-S113,candidate_amber,1,4,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T0-S101,candidate_amber,2,0,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T0-S103,candidate_amber,2,0,103,1,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T0-S107,candidate_amber,2,0,107,2,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T0-S109,candidate_amber,2,0,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T0-S113,candidate_amber,2,0,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T1-S101,candidate_amber,2,1,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T1-S103,candidate_amber,2,1,103,1,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T1-S107,candidate_amber,2,1,107,2,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T1-S109,candidate_amber,2,1,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T1-S113,candidate_amber,2,1,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T2-S101,candidate_amber,2,2,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T2-S103,candidate_amber,2,2,103,1,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T2-S107,candidate_amber,2,2,107,2,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T2-S109,candidate_amber,2,2,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T2-S113,candidate_amber,2,2,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T3-S101,candidate_amber,2,3,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T3-S103,candidate_amber,2,3,103,1,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T3-S107,candidate_amber,2,3,107,2,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T3-S109,candidate_amber,2,3,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T3-S113,candidate_amber,2,3,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T4-S101,candidate_amber,2,4,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T4-S103,candidate_amber,2,4,103,1,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T4-S107,candidate_amber,2,4,107,2,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T4-S109,candidate_amber,2,4,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L2-T4-S113,candidate_amber,2,4,113,4,completed,false,false,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T0-S101,candidate_cobalt,0,0,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T0-S103,candidate_cobalt,0,0,103,1,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T0-S107,candidate_cobalt,0,0,107,2,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T0-S109,candidate_cobalt,0,0,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T0-S113,candidate_cobalt,0,0,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T1-S101,candidate_cobalt,0,1,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T1-S103,candidate_cobalt,0,1,103,1,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T1-S107,candidate_cobalt,0,1,107,2,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T1-S109,candidate_cobalt,0,1,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T1-S113,candidate_cobalt,0,1,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T2-S101,candidate_cobalt,0,2,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T2-S103,candidate_cobalt,0,2,103,1,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T2-S107,candidate_cobalt,0,2,107,2,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T2-S109,candidate_cobalt,0,2,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T2-S113,candidate_cobalt,0,2,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T3-S101,candidate_cobalt,0,3,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T3-S103,candidate_cobalt,0,3,103,1,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T3-S107,candidate_cobalt,0,3,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T3-S109,candidate_cobalt,0,3,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T3-S113,candidate_cobalt,0,3,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T4-S101,candidate_cobalt,0,4,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T4-S103,candidate_cobalt,0,4,103,1,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T4-S107,candidate_cobalt,0,4,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T4-S109,candidate_cobalt,0,4,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L0-T4-S113,candidate_cobalt,0,4,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T0-S101,candidate_cobalt,1,0,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T0-S103,candidate_cobalt,1,0,103,1,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T0-S107,candidate_cobalt,1,0,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T0-S109,candidate_cobalt,1,0,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T0-S113,candidate_cobalt,1,0,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T1-S101,candidate_cobalt,1,1,101,0,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T1-S103,candidate_cobalt,1,1,103,1,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T1-S107,candidate_cobalt,1,1,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T1-S109,candidate_cobalt,1,1,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T1-S113,candidate_cobalt,1,1,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T2-S101,candidate_cobalt,1,2,101,0,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T2-S103,candidate_cobalt,1,2,103,1,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T2-S107,candidate_cobalt,1,2,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T2-S109,candidate_cobalt,1,2,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T2-S113,candidate_cobalt,1,2,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T3-S101,candidate_cobalt,1,3,101,0,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T3-S103,candidate_cobalt,1,3,103,1,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T3-S107,candidate_cobalt,1,3,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T3-S109,candidate_cobalt,1,3,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T3-S113,candidate_cobalt,1,3,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T4-S101,candidate_cobalt,1,4,101,0,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T4-S103,candidate_cobalt,1,4,103,1,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T4-S107,candidate_cobalt,1,4,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T4-S109,candidate_cobalt,1,4,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L1-T4-S113,candidate_cobalt,1,4,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T0-S101,candidate_cobalt,2,0,101,0,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T0-S103,candidate_cobalt,2,0,103,1,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T0-S107,candidate_cobalt,2,0,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T0-S109,candidate_cobalt,2,0,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T0-S113,candidate_cobalt,2,0,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T1-S101,candidate_cobalt,2,1,101,0,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T1-S103,candidate_cobalt,2,1,103,1,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T1-S107,candidate_cobalt,2,1,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T1-S109,candidate_cobalt,2,1,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T1-S113,candidate_cobalt,2,1,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T2-S101,candidate_cobalt,2,2,101,0,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T2-S103,candidate_cobalt,2,2,103,1,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T2-S107,candidate_cobalt,2,2,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T2-S109,candidate_cobalt,2,2,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T2-S113,candidate_cobalt,2,2,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T3-S101,candidate_cobalt,2,3,101,0,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T3-S103,candidate_cobalt,2,3,103,1,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T3-S107,candidate_cobalt,2,3,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T3-S109,candidate_cobalt,2,3,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T3-S113,candidate_cobalt,2,3,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T4-S101,candidate_cobalt,2,4,101,0,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T4-S103,candidate_cobalt,2,4,103,1,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T4-S107,candidate_cobalt,2,4,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T4-S109,candidate_cobalt,2,4,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_cobalt-L2-T4-S113,candidate_cobalt,2,4,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
